[14:26:26.241][info] Environment started  [18/246 mB]
[14:26:26.379][info] status: 0.00%  complete : sim time = 0.00 : jumps = 0  [22/246 mB]
[14:26:31.242][info] monitor : 0.02% complete : sim time = 0.01 : jumps = 1  [45/246 mB]
[14:26:36.401][info] monitor : 0.05% complete : sim time = 0.01 : jumps = 1  [64/246 mB]
[14:26:41.412][info] monitor : 0.06% complete : sim time = 0.01 : jumps = 1  [57/235 mB]
[14:26:46.413][info] monitor : 0.08% complete : sim time = 0.02 : jumps = 1  [10/234 mB]
[14:26:51.414][info] monitor : 0.10% complete : sim time = 0.02 : jumps = 1  [23/228 mB]
[14:26:56.415][info] monitor : 0.12% complete : sim time = 0.03 : jumps = 1  [31/226 mB]
[14:27:01.416][info] monitor : 0.14% complete : sim time = 0.03 : jumps = 1  [40/224 mB]
[14:27:06.441][info] monitor : 0.16% complete : sim time = 0.03 : jumps = 1  [36/222 mB]
[14:27:11.466][info] monitor : 0.18% complete : sim time = 0.04 : jumps = 1  [7/220 mB]
[14:27:16.467][info] monitor : 0.20% complete : sim time = 0.04 : jumps = 1  [31/220 mB]
